x
1.764
1.92
1.957
1.993
1.891
1.927
1.943
1.966
1.995
1.919
1.988
1.838
1.922
1.957
1.993
1.897
1.931
1.948
1.968
1.995
1.936
2.017
1.89
1.936
1.963
2.029
1.899
1.935
1.953
1.969
1.865
1.941
1.891
1.937
1.963
2.042
1.91
1.939
1.957
1.977
1.995
1.955
1.906
1.941
1.975
1.866
1.911
1.939
1.959
1.981
1.877
1.963
1.908
1.942
1.976
1.872
1.916
1.94
1.962
1.981
1.9
1.973
